Entity,Code,Day,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,Johnson&Johnson
Czechia,CZE,2021-01-27,7008,0,241192,0,0
Czechia,CZE,2021-01-28,7127,0,254180,0,0
Czechia,CZE,2021-01-29,7278,0,267993,0,0
Czechia,CZE,2021-01-30,7280,0,269789,0,0
Czechia,CZE,2021-01-31,7280,0,271632,0,0
Czechia,CZE,2021-02-01,7534,0,283182,0,0
Czechia,CZE,2021-02-02,7861,0,297125,0,0
Czechia,CZE,2021-02-03,8587,0,311718,0,0
Czechia,CZE,2021-02-04,9722,0,328345,0,0
Czechia,CZE,2021-02-05,10907,0,343187,0,0
Czechia,CZE,2021-02-06,11165,0,346095,0,0
Czechia,CZE,2021-02-07,11428,0,349145,0,0
Czechia,CZE,2021-02-08,12332,0,363569,0,0
Czechia,CZE,2021-02-09,13964,0,378804,0,0
Czechia,CZE,2021-02-10,15705,0,395662,0,0
Czechia,CZE,2021-02-11,19069,230,414395,0,0
Czechia,CZE,2021-02-12,21321,625,433054,0,0
Czechia,CZE,2021-02-13,21804,1046,436675,0,0
Czechia,CZE,2021-02-14,22052,1248,438578,0,0
Czechia,CZE,2021-02-15,23444,1970,452095,0,0
Czechia,CZE,2021-02-16,25909,3084,466103,0,0
Czechia,CZE,2021-02-17,28574,5106,479235,0,0
Czechia,CZE,2021-02-18,30920,7064,495139,0,0
Czechia,CZE,2021-02-19,32301,8759,511014,0,0
Czechia,CZE,2021-02-20,32304,9385,513461,0,0
Czechia,CZE,2021-02-21,32401,9574,515200,0,0
Czechia,CZE,2021-02-22,33398,11177,528635,0,0
Czechia,CZE,2021-02-23,34179,13860,544866,0,0
Czechia,CZE,2021-02-24,35504,16773,560371,0,0
Czechia,CZE,2021-02-25,36680,21065,578256,0,0
Czechia,CZE,2021-02-26,37513,24352,595455,0,0
Czechia,CZE,2021-02-27,37684,24964,598147,0,0
Czechia,CZE,2021-02-28,37877,25426,600359,0,0
Czechia,CZE,2021-03-01,39471,29339,617496,0,0
Czechia,CZE,2021-03-02,41329,38438,636832,0,0
Czechia,CZE,2021-03-03,45031,47886,658473,0,0
Czechia,CZE,2021-03-04,49731,56970,682098,0,0
Czechia,CZE,2021-03-05,53306,65126,704128,0,0
Czechia,CZE,2021-03-06,54699,69493,711148,0,0
Czechia,CZE,2021-03-07,55975,73645,717894,0,0
Czechia,CZE,2021-03-08,59044,81396,741297,0,0
Czechia,CZE,2021-03-09,64316,92317,767268,0,0
Czechia,CZE,2021-03-10,69269,102959,799401,0,0
Czechia,CZE,2021-03-11,73531,114483,836249,0,0
Czechia,CZE,2021-03-12,78914,126508,865496,0,0
Czechia,CZE,2021-03-13,80179,129463,879474,0,0
Czechia,CZE,2021-03-14,81312,130365,890585,0,0
Czechia,CZE,2021-03-15,88070,138308,912608,0,0
Czechia,CZE,2021-03-16,97211,146835,943839,0,0
Czechia,CZE,2021-03-17,104921,155674,974840,0,0
Czechia,CZE,2021-03-18,112037,164720,1008468,0,0
Czechia,CZE,2021-03-19,118071,173284,1041304,0,0
Czechia,CZE,2021-03-20,119207,175658,1054746,0,0
Czechia,CZE,2021-03-21,119517,176111,1062837,0,0
Czechia,CZE,2021-03-22,123782,182835,1088239,0,0
Czechia,CZE,2021-03-23,127619,190304,1116343,0,0
Czechia,CZE,2021-03-24,131759,197870,1146681,0,0
Czechia,CZE,2021-03-25,135793,205236,1179041,0,0
Czechia,CZE,2021-03-26,138315,210774,1212787,0,0
Czechia,CZE,2021-03-27,139551,211606,1223795,0,0
Czechia,CZE,2021-03-28,141103,211699,1231713,0,0
Czechia,CZE,2021-03-29,147036,215373,1261325,0,0
Czechia,CZE,2021-03-30,155806,220621,1293653,0,0
Czechia,CZE,2021-03-31,166700,225496,1327386,0,0
Czechia,CZE,2021-04-01,177196,229855,1369340,0,0
Czechia,CZE,2021-04-02,179719,230357,1385674,0,0
Czechia,CZE,2021-04-03,181404,230534,1398117,0,0
Czechia,CZE,2021-04-04,182599,230535,1408091,0,0
Czechia,CZE,2021-04-05,183976,230600,1416045,0,0
Czechia,CZE,2021-04-06,192334,233486,1449626,0,0
Czechia,CZE,2021-04-07,200623,241322,1478440,0,0
Czechia,CZE,2021-04-08,206740,252327,1529652,0,0
Czechia,CZE,2021-04-09,214173,263171,1579296,0,0
Czechia,CZE,2021-04-10,215689,266631,1604664,0,0
Czechia,CZE,2021-04-11,216823,267121,1622641,0,0
Czechia,CZE,2021-04-12,225239,275602,1667661,0,0
Czechia,CZE,2021-04-13,235708,284702,1709083,0,0
Czechia,CZE,2021-04-14,246014,294497,1754245,0,0
Czechia,CZE,2021-04-15,255280,303389,1808552,0,0
Czechia,CZE,2021-04-16,265105,309904,1861599,0,0
Czechia,CZE,2021-04-17,267462,310511,1884010,0,0
Czechia,CZE,2021-04-18,268336,310652,1900798,0,0
Czechia,CZE,2021-04-19,275194,315938,1947190,0,0
Czechia,CZE,2021-04-20,281880,322398,1991301,0,0
Czechia,CZE,2021-04-21,287193,329639,2039738,0,0
Czechia,CZE,2021-04-22,292997,337356,2096903,0,28
Czechia,CZE,2021-04-23,296801,343278,2147511,0,248
Czechia,CZE,2021-04-24,297616,343939,2168705,0,260
Czechia,CZE,2021-04-25,299073,344112,2185434,0,276
Czechia,CZE,2021-04-26,302882,349385,2230905,0,816
Czechia,CZE,2021-04-27,308804,355601,2276136,0,1744
Czechia,CZE,2021-04-28,316791,361594,2327418,0,3150
France,FRA,2020-12-27,0,0,18,0,0
France,FRA,2020-12-28,0,0,78,0,0
France,FRA,2020-12-29,0,0,185,0,0
France,FRA,2020-12-30,0,0,300,0,0
France,FRA,2020-12-31,0,0,383,0,0
France,FRA,2021-01-01,0,0,438,0,0
France,FRA,2021-01-02,0,0,510,0,0
France,FRA,2021-01-03,0,0,597,0,0
France,FRA,2021-01-04,0,0,2059,0,0
